iter	Passed	Remaining
0	0	24
1	0	24
2	0	23
3	0	23
4	1	24
5	1	23
6	1	23
7	2	23
8	2	22
9	2	22
10	2	22
11	3	22
12	3	22
13	3	21
14	3	21
15	4	21
16	4	21
17	4	21
18	4	21
19	5	20
20	5	20
21	5	20
22	5	19
23	6	19
24	6	19
25	6	19
26	7	19
27	7	18
28	7	18
29	7	18
30	7	17
31	8	17
32	8	17
33	9	18
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	15
40	10	15
41	11	15
42	11	15
43	11	14
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	14	12
54	15	12
55	15	12
56	15	11
57	16	11
58	16	11
59	16	10
60	16	10
61	17	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	8
67	18	8
68	18	8
69	19	8
70	19	7
71	19	7
72	19	7
73	20	7
74	20	6
75	20	6
76	20	6
77	21	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	23	2
90	24	2
91	24	2
92	24	1
93	24	1
94	25	1
95	25	1
96	25	0
97	25	0
98	25	0
99	26	0
