iter	Passed	Remaining
0	0	489
1	0	413
2	1	436
3	1	439
4	2	424
5	2	408
6	2	402
7	3	397
8	3	402
9	4	420
10	4	417
11	4	406
12	5	396
13	5	388
14	5	380
15	6	371
16	6	364
17	6	358
18	6	358
19	7	356
20	7	353
21	7	349
22	8	345
23	8	341
24	8	338
25	8	334
26	9	330
27	9	327
28	9	327
29	10	326
30	10	324
31	10	322
32	10	321
33	11	318
34	11	320
35	11	319
36	12	317
37	12	318
38	12	317
39	13	315
40	13	314
41	13	317
42	14	315
43	14	313
44	14	312
45	15	311
46	15	309
47	15	309
48	15	308
49	16	306
50	16	305
51	16	303
52	16	302
53	17	302
54	17	303
55	17	302
56	18	300
57	18	299
58	18	298
59	19	297
60	19	296
61	19	294
62	19	293
63	20	292
64	20	291
65	20	290
66	20	288
67	21	287
68	21	286
69	21	285
70	21	284
71	22	283
72	22	282
73	22	281
74	22	280
75	23	280
76	23	279
77	23	279
78	23	278
79	24	278
80	24	278
81	24	279
82	25	277
83	25	277
84	25	277
85	26	276
86	26	275
87	26	274
88	26	273
89	26	272
90	27	271
91	27	270
92	27	270
93	28	269
94	28	269
95	28	270
96	29	270
97	29	270
98	29	270
99	30	270
100	30	270
101	30	270
102	31	270
103	31	269
104	31	269
105	31	268
106	32	267
107	32	267
108	32	266
109	32	265
110	33	265
111	33	264
112	33	264
113	33	263
114	34	262
115	34	261
116	34	260
117	34	259
118	34	258
119	35	257
120	35	257
121	35	255
122	35	255
123	36	254
124	36	253
125	36	252
126	36	251
127	36	250
128	37	250
129	37	249
130	37	249
131	37	248
132	38	247
133	38	247
134	38	246
135	38	245
136	38	245
137	39	244
138	39	244
139	39	243
140	39	242
141	39	241
142	40	240
143	40	240
144	40	239
145	40	238
146	41	238
147	41	237
148	41	236
149	41	236
150	42	236
151	42	236
152	42	235
153	42	235
154	43	234
155	43	234
156	43	233
157	43	232
158	44	232
159	44	232
160	44	231
161	44	230
162	44	230
163	45	229
164	45	229
165	45	229
166	45	228
167	46	228
168	46	227
169	46	227
170	46	226
171	47	226
172	47	225
173	47	225
174	47	224
175	47	224
176	48	223
177	48	223
178	48	223
179	48	222
180	49	222
181	49	222
182	49	221
183	49	221
184	50	220
185	50	220
186	50	220
187	50	219
188	51	219
189	51	218
190	51	218
191	51	218
192	52	217
193	52	217
194	52	216
195	52	216
196	53	216
197	53	215
198	53	215
199	53	215
200	54	215
201	54	214
202	54	214
203	54	214
204	55	213
205	55	213
206	55	213
207	55	213
208	56	212
209	56	212
210	56	212
211	56	211
212	57	213
213	59	219
214	60	221
215	61	222
216	61	222
217	61	222
218	62	221
219	62	221
220	62	221
221	63	220
222	63	220
223	63	220
224	63	219
225	64	219
226	64	218
227	64	218
228	64	217
229	64	217
230	65	217
231	65	216
232	65	216
233	65	215
234	66	215
235	66	215
236	66	214
237	66	214
238	67	213
239	67	213
240	67	212
241	67	212
242	68	212
243	68	212
244	68	212
245	69	211
246	69	211
247	69	210
248	69	210
249	70	210
250	70	210
251	70	209
252	70	209
253	71	209
254	71	208
255	71	208
256	72	208
257	72	208
258	72	208
259	73	207
260	73	207
261	73	207
262	73	207
263	74	206
264	74	206
265	75	207
266	75	207
267	75	207
268	76	206
269	76	206
270	76	206
271	76	205
272	77	205
273	77	205
274	77	204
275	77	204
276	78	203
277	78	203
278	78	203
279	78	202
280	79	202
281	79	201
282	79	201
283	79	200
284	80	201
285	80	200
286	80	200
287	80	199
288	81	199
289	81	198
290	81	198
291	81	198
292	81	197
293	82	197
294	82	196
295	82	196
296	82	196
297	83	195
298	83	195
299	83	195
300	83	194
301	84	194
302	84	194
303	84	193
304	85	193
305	85	193
306	85	193
307	85	192
308	86	192
309	86	192
310	86	191
311	86	191
312	87	190
313	87	190
314	87	190
315	87	189
316	87	189
317	88	189
318	88	188
319	88	188
320	88	188
321	89	187
322	89	187
323	89	186
324	89	186
325	90	186
326	90	186
327	90	185
328	91	185
329	91	185
330	91	185
331	91	184
332	92	184
333	92	184
334	92	184
335	92	183
336	93	183
337	93	183
338	93	182
339	93	182
340	94	182
341	94	181
342	94	181
343	94	180
344	95	180
345	95	180
346	95	179
347	95	179
348	95	179
349	96	178
350	96	178
351	96	177
352	96	177
353	97	177
354	97	176
355	97	176
356	97	176
357	97	175
358	98	175
359	98	174
360	98	174
361	98	174
362	99	173
363	99	173
364	99	173
365	99	172
366	99	172
367	100	172
368	100	171
369	100	171
370	100	170
371	101	170
372	101	170
373	101	170
374	101	169
375	102	169
376	102	169
377	102	168
378	102	168
379	102	168
380	103	167
381	103	167
382	103	166
383	103	166
384	104	166
385	104	166
386	104	165
387	105	165
388	105	165
389	105	165
390	105	164
391	106	164
392	106	164
393	107	165
394	107	164
395	107	164
396	108	164
397	108	163
398	108	163
399	108	163
400	109	162
401	109	162
402	109	162
403	109	161
404	109	161
405	110	161
406	110	160
407	110	160
408	110	160
409	111	160
410	111	159
411	111	159
412	111	159
413	112	158
414	112	158
415	112	158
416	112	157
417	113	157
418	113	157
419	113	156
420	113	156
421	114	156
422	114	156
423	114	155
424	114	155
425	115	155
426	115	154
427	115	154
428	115	154
429	116	153
430	116	153
431	116	153
432	116	152
433	116	152
434	117	152
